SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS1145	SEEDGWAS1145.MRG.4.250070155	G27492	CIMMYTMA-021354	1974-01-01	7	5	1890	19.11666667	-97.1	2.20384752986433	CIMMYTMA
SEEDGWAS1146	SEEDGWAS1146.MRG.4.250070156	G27501	CIMMYTMA-021364	1972-01-01	7	5	1306	16.352808	-92.359949	3.72493811805472	CIMMYTMA
SEEDGWAS1147	SEEDGWAS1147.MRG.4.250070157	G27830	CIMMYTMA-023164	1972-01-01	7	5	738	16.602202	-92.711648	3.32888719776595	CIMMYTMA
SEEDGWAS1148	SEEDGWAS1148.MRG.4.250070158	G27852	CIMMYTMA-023174	1972-01-01	7	5	551	16.538454	-92.68035	3.37189406293525	CIMMYTMA
SEEDGWAS115	SEEDGWAS115.MRG.4.250054528	G8829	CIMMYTMA-002110	1948-01-01	7	5	17	19.766667	-90.233333	6.29007154172351	CIMMYTMA
SEEDGWAS1150	SEEDGWAS1150.MRG.4.250070159	G27909	CIMMYTMA-023206	1972-01-01	7	5	551	16.538454	-92.68035	3.37189406293525	CIMMYTMA
SEEDGWAS1151	SEEDGWAS1151.MRG.4.250070160	G27916	CIMMYTMA-023209	1972-01-01	7	5	738	16.602202	-92.711648	3.32888719776595	CIMMYTMA
SEEDGWAS1152	SEEDGWAS1152.MRG.4.250070161	G27933	CIMMYTMA-023214	1972-01-01	7	5	738	16.602202	-92.711648	3.32888719776595	CIMMYTMA
SEEDGWAS1153	SEEDGWAS1153.MRG.4.250070162	G28321	CIMMYTMA-023594	1999-05-05	7	5	37	16.329646	-95.212162	1.17537694621002	CIMMYTMA
SEEDGWAS1154	SEEDGWAS1154.MRG.4.250070163	G28322	CIMMYTMA-023595	1999-05-05	7	5	17	16.1	-95.38333333	1.26765326209067	CIMMYTMA
SEEDGWAS1156	SEEDGWAS1156.MRG.4.250070164	G28862	CIMMYTMA-025003	1972-01-01	7	5	675	15.86666667	-92.73333333	3.51923269278976	CIMMYTMA
SEEDGWAS1157	SEEDGWAS1157.MRG.4.250070165	G28870	CIMMYTMA-025022	1972-01-01	7	5	902	16.8	-93.26666667	2.74843361525154	CIMMYTMA
SEEDGWAS1158	SEEDGWAS1158.MRG.4.250070166	G28876	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1159	SEEDGWAS1159.MRG.4.250070167	G28880	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS116	SEEDGWAS116.MRG.4.250054529	G8833	CIMMYTMA-002114	1948-01-01	7	5	6	18.658723	-91.759457	4.46325598308141	CIMMYTMA
SEEDGWAS1160	SEEDGWAS1160.MRG.4.250070168	G28881	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1161	SEEDGWAS1161.MRG.4.250070169	G28896	CIMMYTMA-025078		7	5	1230	18.83	-97.1	1.96208780582776	CIMMYTMA
SEEDGWAS1164	SEEDGWAS1164.MRG.4.250070170	G30262	CIMMYTMA-029495	2007-11-06	7	5	1426	21.381212	-99.042158	5.16718931699333	CIMMYTMA
SEEDGWAS1165	SEEDGWAS1165.MRG.4.250070171	G276	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1166	SEEDGWAS1166.MRG.4.250070172	G500	CIMMYTMA-000064	1947-01-01	7	5	123	17.678521	-101.303874	5.34054918992391	CIMMYTMA
SEEDGWAS1167	SEEDGWAS1167.MRG.4.250070173	G844	CIMMYTMA-000117	1946-01-01	7	5	172	16.33333333	-98.03333333	2.23221408595945	CIMMYTMA
SEEDGWAS1168	SEEDGWAS1168.MRG.4.250070174	G1466	CIMMYTMA-000125	1954-01-01	7	5	873	16.95513	-97.816661	1.85188907819906	CIMMYTMA
